temperature,humidity,wind_speed,pressure,cloud_cover,rain
35.4,62,47.6,1047.9,40,0
7.1,44,43.1,972.8,97,0
43.8,98,9.0,963.0,94,1
-8.1,16,46.2,954.6,21,0
36.4,54,47.8,1005.1,44,0
9.1,100,33.6,1012.2,74,1
-8.3,66,40.1,1032.7,85,0
21.5,37,5.1,1011.4,99,0
31.1,38,15.3,1035.9,21,0
15.7,82,44.0,1000.0,80,1
16.0,53,6.8,1043.4,25,0
-1.8,66,43.8,1027.4,35,0
10.2,42,33.7,957.9,85,0
30.7,27,34.3,1001.1,60,0
20.4,79,49.7,1008.7,29,0
5.8,35,9.8,981.5,17,0
8.8,59,48.8,951.5,73,0
42.5,28,4.3,954.0,11,0
9.6,65,31.8,1016.6,68,0
32.2,93,46.4,961.6,93,1
26.8,89,17.4,960.0,10,0
33.5,44,40.5,1023.1,38,0
14.9,60,23.2,965.8,97,0
27.5,98,32.3,1018.8,23,0
20.0,89,1.7,989.6,20,0
0.9,37,49.7,1024.8,37,0
31.0,58,11.4,982.8,94,0
12.0,71,42.4,1031.4,49,0
43.2,25,48.9,1035.3,91,0
-3.0,44,48.7,959.4,88,0
15.1,69,32.5,1039.5,15,0
25.0,35,38.9,969.5,5,0
-8.7,23,36.8,960.6,91,0
-7.3,21,18.7,1017.7,96,0
11.0,90,40.9,1010.7,42,0
-5.9,35,24.5,1034.9,44,0
22.0,48,20.3,1011.4,21,0
39.2,46,4.5,998.9,88,0
43.9,84,36.1,1023.6,33,0
-6.0,87,12.9,964.0,25,0
12.8,58,44.8,950.6,12,0
1.4,83,2.3,976.1,75,1
31.9,72,41.4,991.5,42,0
-2.5,45,47.1,994.8,73,0
27.3,37,25.0,1028.5,42,0
18.2,23,12.8,969.0,54,0
20.7,88,24.4,997.7,37,0
31.9,15,42.0,970.1,93,0
42.8,87,46.5,1046.4,70,1
24.7,65,39.6,976.5,84,0
19.5,33,39.8,1007.3,27,0
40.4,95,7.3,1022.5,6,0
33.2,23,38.8,1036.7,27,0
30.0,71,20.2,963.3,36,0
2.5,29,5.8,1003.8,35,0
40.4,90,38.0,958.2,86,1
36.0,64,10.2,1009.4,0,0
9.1,16,41.4,966.5,32,0
19.6,21,44.4,1039.2,53,0
36.9,46,44.6,966.4,99,0
36.8,44,29.4,1009.0,36,0
15.5,27,27.7,990.4,72,0
5.3,26,13.0,979.3,85,0
23.0,40,6.5,1033.1,100,0
18.7,18,36.4,953.7,20,0
33.4,33,5.9,1039.4,16,0
19.1,22,9.3,986.0,47,0
9.8,79,30.5,979.1,19,1
26.8,73,29.6,1048.2,6,0
4.8,62,31.7,960.4,24,0
8.4,74,38.7,964.5,17,1
16.1,64,20.7,1049.6,79,0
5.2,17,35.1,982.2,3,0
36.6,91,8.5,1032.6,91,1
0.9,97,16.8,1027.1,33,0
17.3,55,14.5,1040.3,24,0
30.7,53,19.2,1021.4,77,0
11.2,18,32.9,979.8,51,0
9.7,82,17.8,1019.3,65,1
-7.7,32,23.7,1042.1,70,0
-10.0,66,17.8,1033.3,99,0
24.2,66,11.7,972.0,94,0
34.0,35,2.7,1004.1,99,0
32.2,33,35.9,952.3,32,0
25.9,11,21.1,991.2,61,0
32.7,95,36.1,967.1,99,1
-6.3,54,47.5,975.5,63,0
-0.1,41,29.1,979.6,100,0
2.7,93,40.9,959.9,62,1
37.0,88,32.8,951.0,91,1
31.0,65,18.6,1024.3,34,0
24.5,39,16.6,1011.1,29,0
4.1,69,20.5,966.4,3,0
-4.5,51,26.8,967.9,71,0
-8.5,97,45.5,1001.5,44,0
17.1,100,34.6,1007.6,90,1
17.4,49,38.3,999.7,89,0
-0.0,26,33.6,973.1,63,0
15.3,67,25.1,965.3,18,0
12.6,62,12.5,1036.8,25,0
0.9,50,9.5,1022.4,52,0
28.1,50,22.6,958.2,14,0
24.0,86,8.1,961.4,52,0
-1.9,64,32.2,985.6,60,0
-5.6,36,42.3,996.0,88,0
42.5,42,28.6,1038.5,97,0
17.6,85,39.3,1020.2,44,0
3.8,44,39.9,988.5,33,0
44.5,15,14.1,998.5,100,0
26.5,26,46.5,1025.1,51,0
38.7,35,28.4,1006.9,69,0
29.3,43,7.6,1013.7,68,0
-5.2,58,11.7,1028.4,22,0
9.5,99,45.4,979.4,44,1
10.3,48,41.8,963.3,70,0
40.3,83,44.4,1024.7,75,1
13.5,71,48.8,982.8,98,1
26.3,74,43.1,1036.6,90,0
29.4,48,30.9,1006.3,13,0
40.4,89,24.5,1032.2,96,1
15.6,62,17.2,1028.2,25,0
21.8,98,0.1,976.1,80,1
27.8,77,7.8,1032.8,85,0
44.8,75,12.2,1039.2,10,0
40.6,100,17.9,998.6,6,0
18.0,20,2.0,1042.5,62,0
-1.8,36,0.9,1004.3,4,0
-8.4,36,45.9,965.0,59,0
-8.4,39,31.9,1001.8,62,0
-2.7,92,43.4,979.0,91,1
5.0,40,1.6,970.5,69,0
17.0,76,38.9,980.6,10,1
-4.9,27,40.2,982.5,69,0
34.7,15,32.7,968.1,66,0
18.3,50,14.6,1028.4,76,0
34.3,69,36.9,984.2,42,0
36.3,38,11.0,1033.1,38,0
44.1,72,4.0,1017.0,42,0
10.9,58,31.7,984.4,45,0
4.2,59,26.8,1006.5,58,0
24.6,69,48.6,964.2,90,0
12.2,64,44.3,979.1,71,0
34.9,71,20.4,1028.3,80,0
13.1,62,17.9,1019.9,62,0
-10.0,71,22.6,973.9,25,0
39.5,99,30.5,997.8,59,0
22.8,23,18.2,1045.7,19,0
6.8,33,20.8,1010.1,45,0
31.7,52,8.8,1017.3,66,0
-3.7,34,23.3,1049.1,49,0
-1.3,90,7.3,1009.9,62,1
32.8,32,29.3,1038.3,60,0
45.0,83,1.0,953.5,24,0
39.3,66,20.4,1003.4,9,0
10.4,16,25.1,967.8,48,0
12.4,36,49.0,981.0,100,0
-4.2,31,8.9,985.2,15,0
3.3,39,18.0,1040.9,78,0
1.8,40,33.7,1046.7,66,0
11.0,29,37.9,1042.6,34,0
18.7,12,24.6,959.9,27,0
35.9,78,42.7,1043.6,80,0
11.8,31,49.4,1013.5,98,0
13.7,24,26.3,1013.1,66,0
25.4,76,40.9,976.8,12,0
6.8,47,8.1,1000.3,52,0
-1.2,63,47.2,980.3,13,0
32.6,60,0.4,1047.8,62,0
-4.3,66,2.3,990.3,79,0
34.3,59,23.3,1003.1,61,0
-3.9,40,49.4,984.0,8,0
26.1,82,33.7,1045.4,77,1
15.7,33,26.0,1038.8,97,0
7.5,25,3.1,979.2,80,0
1.7,14,44.8,1019.8,54,0
17.1,23,28.5,1003.6,85,0
5.9,26,5.6,1005.6,47,0
29.2,56,26.6,1036.9,11,0
29.5,78,25.2,953.7,61,0
-7.3,100,34.7,961.6,33,1
31.0,67,41.6,1010.1,21,0
-1.5,31,41.0,957.9,38,0
-1.1,91,43.6,994.5,36,1
9.6,88,2.9,967.0,12,0
35.4,20,42.0,996.9,0,0
17.7,48,39.1,1010.1,19,0
9.7,44,38.7,997.3,93,0
-7.4,65,26.9,988.6,12,0
16.7,21,8.4,997.7,93,0
39.2,90,3.0,962.8,62,1
1.7,42,0.9,1047.4,40,0
-1.5,63,46.6,1031.2,36,0
-3.2,40,26.6,1008.3,30,0
-6.0,31,17.9,1021.2,0,0
35.6,80,0.4,1019.9,63,0
6.9,15,17.2,1025.7,45,0
43.0,40,39.6,1031.4,5,0
37.3,48,32.3,1042.9,42,0
15.1,24,35.6,995.3,90,0
1.4,34,48.0,997.9,0,0
27.3,54,32.1,1032.0,100,0
35.1,84,24.1,1034.8,34,0
18.3,77,22.6,951.4,36,1
34.7,30,21.7,973.5,79,0
27.0,97,38.2,987.8,34,0
14.5,35,17.6,1040.4,98,0
42.8,44,45.9,1010.8,67,0
0.6,85,34.0,983.0,19,1
-0.6,61,14.5,966.8,14,0
33.5,99,19.4,1035.3,77,1
-6.8,23,15.8,1029.2,71,0
20.3,35,18.8,1044.6,11,0
11.3,24,38.8,1047.9,11,0
23.8,11,34.5,1014.6,40,0
21.9,85,23.5,953.7,88,1
36.6,56,29.9,1007.0,38,0
-9.2,40,29.8,972.0,82,0
7.7,66,5.2,966.1,40,0
31.0,89,30.4,1026.2,76,1
41.8,78,30.8,994.7,95,0
21.0,49,3.2,1004.6,79,0
23.1,32,9.8,1022.4,10,0
-2.2,11,49.1,1013.2,51,0
23.5,74,45.1,1020.4,5,0
31.7,90,22.2,1008.6,9,0
-5.5,29,28.1,995.1,81,0
41.5,27,21.2,976.4,68,0
35.4,91,19.5,1019.6,9,0
-5.6,68,39.2,1017.5,5,0
7.9,86,4.0,1048.6,50,0
43.0,32,37.9,1027.5,8,0
-2.5,67,29.0,951.3,32,0
-5.9,95,26.2,1040.0,52,0
42.0,78,1.6,1025.3,90,0
13.5,97,20.9,1012.4,65,1
28.0,51,34.6,995.7,12,0
2.5,52,13.3,1032.2,40,0
39.4,80,23.7,1016.0,80,0
8.5,42,2.3,1002.0,84,0
29.5,17,34.3,1006.3,22,0
8.2,46,17.8,971.2,0,0
21.8,61,46.7,1050.0,37,0
41.5,25,44.0,965.1,7,0
8.2,29,4.4,955.3,81,0
7.5,58,21.4,969.2,48,0
-4.6,76,48.5,966.2,79,1
17.8,92,18.8,1011.6,89,1
-0.1,12,18.9,1041.0,62,0
30.3,55,7.5,1013.1,20,0
20.0,96,49.1,992.7,1,0
17.5,79,32.8,1007.3,13,0
32.5,54,18.3,1046.2,63,0
7.5,18,45.2,1038.5,37,0
35.8,21,41.7,959.7,1,0
16.5,21,42.2,998.8,55,0
17.8,75,46.0,961.1,74,1
32.7,72,0.7,951.9,60,0
9.2,57,5.2,955.4,35,0
7.4,46,14.9,1042.7,92,0
37.2,61,6.2,981.4,86,0
10.4,97,19.8,1030.4,41,0
-3.3,33,18.7,991.0,4,0
39.6,32,18.7,998.2,42,0
21.4,67,45.1,984.6,58,0
39.1,77,20.8,1042.5,19,0
-2.9,59,41.7,970.5,66,0
28.5,74,33.9,967.7,42,0
26.5,17,6.5,1008.4,79,0
42.4,49,32.4,1021.9,46,0
-9.3,44,26.2,1011.9,58,0
41.3,32,19.0,964.8,44,0
17.8,27,20.4,1019.7,10,0
3.1,61,17.7,995.6,73,0
15.0,62,44.5,994.2,93,0
40.2,88,12.1,1002.5,29,0
6.8,33,14.3,952.6,26,0
-3.4,12,16.7,1048.4,38,0
33.0,90,35.3,1028.1,83,1
35.9,35,42.1,980.9,22,0
29.1,99,47.3,1008.4,79,1
11.2,90,25.9,1040.3,66,1
11.2,95,15.8,1032.4,33,0
23.1,28,27.5,1024.0,35,0
15.4,84,24.9,962.0,17,0
31.3,13,30.7,964.7,4,0
21.4,81,17.2,998.3,5,0
5.2,90,37.5,1035.6,90,1
36.5,95,2.9,1030.0,73,1
-3.8,69,35.2,981.6,57,0
15.4,57,19.2,960.6,35,0
16.3,21,45.8,989.3,48,0
26.1,52,7.4,989.8,43,0
40.8,47,49.5,1000.2,63,0
28.8,39,13.2,1030.4,32,0
16.2,60,12.8,1019.9,88,0
9.8,74,25.1,999.4,33,0
4.7,58,46.3,983.4,82,0
15.2,58,13.2,990.2,47,0
39.0,50,6.5,1045.4,23,0
12.9,93,41.1,979.3,74,1
8.4,35,11.9,972.4,59,0
16.9,90,42.5,1022.1,28,0
1.0,98,44.4,967.5,71,1
3.0,34,33.7,964.7,54,0
4.5,90,27.4,1041.6,99,1
9.3,46,1.0,1023.2,30,0
36.6,46,36.4,990.2,47,0
11.9,85,35.4,1014.5,91,1
32.8,80,3.1,956.8,59,0
7.8,87,28.2,987.8,79,1
2.5,50,0.5,1000.5,61,0
18.9,89,10.7,951.0,53,0
2.6,86,22.3,1002.7,97,1
-9.1,19,37.9,1032.8,3,0
-8.2,37,9.8,1045.5,11,0
-7.7,72,34.0,1004.9,89,0
31.7,46,27.6,1022.0,79,0
30.6,97,8.4,977.6,28,0
14.8,61,13.8,1031.1,53,0
9.5,17,1.8,971.4,77,0
-0.3,22,31.1,959.1,82,0
38.1,100,16.5,971.1,55,0
23.1,40,9.1,983.0,44,0
32.0,19,11.6,990.8,8,0
2.5,84,30.1,1049.1,18,0
-2.3,95,17.0,957.3,59,0
12.2,30,9.8,997.3,75,0
-6.3,72,29.6,1045.1,65,0
42.3,28,39.3,1008.7,1,0
14.0,88,1.0,1046.0,64,1
19.8,66,40.3,1041.1,90,0
26.5,10,4.3,999.1,67,0
5.8,69,35.7,997.7,23,0
42.0,45,31.0,1031.5,93,0
43.2,68,30.6,1011.1,23,0
-7.0,67,34.5,960.3,35,0
43.9,14,38.3,983.0,56,0
37.7,15,31.4,982.1,46,0
26.5,97,30.1,980.9,62,1
40.2,55,14.0,1009.1,53,0
-3.9,36,47.9,1044.1,66,0
28.0,64,42.4,998.1,35,0
28.6,74,9.0,1031.3,67,0
20.0,72,26.6,1030.2,97,0
10.7,86,18.1,1049.0,39,0
28.6,49,43.9,1034.7,9,0
-0.1,92,12.4,1014.6,5,0
29.3,77,37.0,991.4,64,0
36.4,65,44.9,1013.0,39,0
6.3,49,10.2,1003.9,65,0
44.1,60,2.5,969.7,95,0
6.2,82,46.5,1021.3,95,1
20.9,75,43.4,1038.7,71,0
4.9,28,23.9,1012.8,9,0
41.1,42,49.6,1048.4,20,0
43.4,74,49.4,977.2,4,0
-8.8,55,15.8,988.6,99,0
18.4,100,3.5,1045.4,98,1
10.1,49,29.7,958.7,10,0
27.8,64,33.9,969.0,66,0
13.4,73,24.9,1010.2,90,0
17.4,10,30.4,965.9,22,0
30.5,86,6.1,1049.8,97,1
0.8,81,3.8,1014.1,94,1
-1.7,65,11.7,1042.8,65,0
32.1,72,29.1,1005.3,39,0
17.6,84,1.8,984.1,26,0
20.7,27,32.2,969.5,12,0
11.6,73,21.2,1029.7,87,0
4.0,48,11.3,956.5,41,0
34.5,46,7.8,1042.6,53,0
7.0,15,43.3,1006.9,36,0
25.3,50,40.4,1033.5,75,0
18.8,39,39.0,984.1,99,0
35.3,92,39.5,1028.3,89,1
29.9,30,20.2,969.1,33,0
29.4,30,38.3,1024.6,58,0
0.1,10,46.5,985.7,8,0
29.3,50,9.0,1027.6,67,0
0.9,22,48.5,991.5,74,0
42.1,71,33.8,1007.0,68,0
9.6,40,13.0,1042.4,27,0
3.4,78,35.2,960.5,58,1
27.8,36,31.2,1042.4,75,0
6.1,40,4.5,967.8,12,0
33.0,56,47.7,1008.7,95,0
2.3,28,47.5,1008.3,77,0
26.2,43,7.6,970.2,84,0
-6.8,63,45.7,1037.8,91,0
42.4,52,12.8,950.2,1,0
33.6,87,27.2,959.4,91,1
11.4,41,9.6,969.1,64,0
14.5,57,32.8,1005.6,21,0
23.3,70,9.4,990.6,99,0
-9.7,39,25.6,990.7,17,0
32.9,52,46.3,953.9,39,0
36.1,99,15.7,959.0,47,0
19.6,67,37.7,977.2,12,0
-2.4,56,0.8,972.0,1,0
26.5,100,6.7,1047.5,52,0
23.2,18,34.3,1046.0,90,0
21.3,43,42.6,971.7,37,0
43.8,47,20.9,1008.5,25,0
19.5,92,21.2,1036.9,93,1
1.9,49,40.5,1042.1,99,0
10.9,57,45.0,1017.8,23,0
19.9,80,10.7,954.0,53,0
34.2,64,48.9,1021.5,84,0
34.9,46,22.4,1037.1,33,0
4.5,78,30.7,1039.0,97,0
0.4,83,1.1,1047.1,90,1
14.8,29,31.8,1011.3,18,0
41.8,99,29.5,1006.0,12,0
3.0,51,44.4,971.0,77,0
28.1,88,24.7,978.2,83,1
39.9,91,21.8,1043.1,80,1
2.1,72,42.5,990.0,31,1
-0.4,74,20.8,966.1,45,1
-1.7,51,9.8,963.8,5,0
15.8,56,40.7,988.7,80,0
5.1,88,27.7,953.0,34,0
34.5,61,3.7,986.4,14,0
30.9,66,15.4,1016.3,70,0
12.0,74,1.6,960.4,69,0
-0.4,64,34.0,1023.5,65,0
35.8,70,38.8,1018.9,51,0
28.9,61,28.5,1039.3,25,0
-6.6,52,44.9,1019.5,37,0
34.6,97,26.5,958.7,32,0
28.4,28,37.3,973.3,84,0
2.4,83,37.2,1012.5,9,0
17.0,49,46.7,1006.0,11,0
32.3,60,46.7,966.3,75,0
2.6,35,35.2,1015.6,67,0
0.1,51,16.8,1026.1,75,0
11.5,30,23.9,1002.6,64,0
3.8,43,33.9,1040.6,65,0
25.1,35,40.9,1035.1,72,0
4.7,22,4.1,952.1,25,0
14.7,22,47.6,971.9,27,0
2.1,52,22.8,955.6,40,0
17.4,90,1.7,1040.9,82,1
25.1,30,19.2,999.5,6,0
14.5,95,33.4,983.7,4,1
36.8,47,40.3,965.2,49,0
4.0,89,48.9,1044.6,23,0
17.1,46,40.8,1030.6,5,0
37.9,41,48.4,1002.3,86,0
31.3,24,37.0,1000.4,91,0
27.3,57,35.7,988.0,27,0
9.4,14,0.6,998.6,12,0
43.5,37,2.9,1045.5,48,0
39.9,45,11.0,971.4,33,0
-4.7,73,26.3,981.2,83,0
43.1,51,29.3,975.3,72,0
29.8,75,34.7,975.3,55,0
14.9,17,30.5,981.0,95,0
43.8,56,4.8,1008.6,46,0
7.8,25,26.4,1049.1,80,0
-1.3,18,47.6,1043.9,2,0
21.8,35,33.7,1016.3,75,0
18.5,62,16.9,1020.0,9,0
21.4,29,14.7,1003.6,61,0
1.2,20,17.5,1031.1,24,0
10.2,99,24.4,989.3,82,1
19.6,31,29.1,1007.9,92,0
14.7,84,10.9,1049.6,69,1
34.1,64,37.9,980.7,6,0
27.9,47,46.2,963.9,40,0
22.5,97,43.8,1006.6,68,1
-9.1,58,3.2,966.2,27,0
-9.3,19,44.7,1023.2,99,0
-1.0,84,4.0,1013.0,18,0
18.3,29,8.1,1047.3,44,0
0.6,70,9.0,1047.0,79,0
18.0,71,18.4,973.7,27,0
-5.6,76,5.6,1019.2,99,0
-8.4,26,47.6,969.9,73,0
27.0,21,5.8,1038.6,68,0
24.8,24,6.8,980.1,19,0
34.1,43,39.3,955.5,71,0
14.6,89,6.8,1023.3,7,0
29.7,88,10.9,1020.9,20,0
-6.1,65,24.3,993.2,48,0
11.6,79,37.3,1042.2,87,0
21.1,59,17.7,980.8,78,0
30.1,81,33.0,959.5,13,0
23.0,15,12.8,1047.8,9,0
-4.3,92,38.8,1022.0,21,0
38.1,21,5.4,1023.6,20,0
-2.6,59,43.9,1010.7,73,0
8.3,66,36.1,972.8,88,0
-1.9,93,37.7,998.9,77,1
1.5,64,35.6,1028.1,15,0
20.8,38,14.0,1013.9,3,0
-2.5,30,14.5,954.0,63,0
38.3,75,45.9,994.2,90,0
43.4,16,1.1,1037.6,47,0
7.1,93,32.9,988.2,71,1
-6.1,97,41.8,1032.7,2,0
10.0,61,25.7,1014.5,81,0
15.4,65,26.2,1010.6,56,0
-0.4,12,39.5,1023.4,96,0
22.1,41,15.6,952.6,74,0
27.5,32,0.8,1012.3,25,0
17.2,65,11.3,986.2,60,0
-7.1,66,19.4,957.2,0,0
9.6,82,41.9,1032.2,88,1
25.9,66,40.6,1020.7,24,0
17.7,68,3.4,1013.2,26,0
31.5,55,0.1,982.3,28,0
-2.3,19,36.0,1031.5,88,0
-5.2,41,41.7,976.5,12,0
23.5,36,30.3,987.9,90,0
2.9,49,30.4,1016.0,83,0
28.8,49,27.7,955.9,90,0
43.9,78,43.3,1012.2,87,0
7.0,78,39.5,986.4,96,1
36.0,20,19.2,976.4,97,0
3.0,35,37.9,1040.9,30,0
41.9,45,0.3,955.6,1,0
39.1,91,43.7,1048.8,97,1
31.7,66,15.6,993.9,38,0
-9.1,85,4.4,1048.8,23,0
-3.6,100,6.7,1039.3,96,1
4.3,59,46.4,1012.7,82,0
-0.8,82,20.3,1033.9,76,1
-0.5,86,5.9,1003.7,8,0
42.0,72,38.0,1021.4,11,0
8.9,18,37.2,1029.2,40,0
31.4,34,33.9,1029.2,48,0
7.0,92,28.2,976.7,74,1
-6.2,57,38.7,1045.8,80,0
32.4,15,7.1,960.9,48,0
13.9,24,16.8,960.4,18,0
22.5,56,3.3,1024.5,57,0
-0.3,48,46.3,967.7,94,0
34.9,95,12.7,964.9,93,1
37.1,42,48.9,1002.9,82,0
-9.2,35,10.8,1029.2,8,0
-8.7,98,36.0,967.0,31,1
32.3,60,37.5,961.2,89,0
1.2,100,45.3,999.9,91,1
12.9,79,0.6,993.5,92,1
18.0,43,29.2,999.8,2,0
41.2,86,46.7,968.0,87,1
22.1,26,13.9,994.4,26,0
38.5,11,37.1,994.2,99,0
-1.4,36,30.4,1043.0,12,0
43.4,19,41.3,990.1,18,0
1.8,68,29.7,1049.7,42,0
6.9,75,34.3,1008.0,77,0
0.2,19,13.4,1046.8,43,0
37.2,98,36.2,957.7,56,0
22.2,83,39.2,985.7,50,0
-1.4,78,1.1,1034.6,1,0
-2.4,45,41.5,1017.3,59,0
6.1,73,40.7,1023.3,40,0
24.6,81,29.7,1012.3,95,1
-0.4,87,36.5,1001.3,60,0
-9.4,37,25.0,955.3,84,0
8.5,62,48.5,985.2,13,0
5.3,18,14.5,993.5,82,0
-9.0,38,44.9,1045.1,46,0
43.3,61,4.3,956.2,63,0
22.9,95,48.7,985.4,30,0
7.1,70,44.1,1049.5,56,0
26.5,33,47.4,1019.0,92,0
19.9,78,7.8,980.7,65,0
22.3,72,36.5,970.5,24,0
38.9,72,40.0,1016.3,3,0
7.6,22,22.6,1001.1,94,0
-5.0,14,27.3,950.5,94,0
16.5,62,0.9,1040.1,47,0
27.4,74,20.3,975.0,63,0
10.4,24,12.7,962.1,7,0
5.9,24,14.3,968.3,52,0
31.9,94,1.5,1032.6,40,0
-2.6,59,41.1,951.4,77,0
8.7,57,43.0,1020.6,73,0
-0.9,94,46.3,1014.4,92,1
1.1,53,0.6,988.5,65,0
-6.3,26,6.4,985.0,32,0
-0.8,45,23.2,1042.8,54,0
37.7,81,32.5,956.5,81,1
3.7,70,24.3,957.4,28,0
34.5,81,20.3,1047.3,3,0
36.6,31,31.2,1020.0,36,0
17.1,63,10.8,950.4,27,0
11.1,72,9.5,1033.7,30,0
0.2,35,40.7,1009.0,51,0
32.5,67,20.1,1026.2,49,0
34.6,74,30.0,966.2,82,0
38.8,82,32.1,966.4,40,0
34.5,18,50.0,1001.1,86,0
30.4,29,37.3,1038.2,97,0
22.9,33,34.4,1041.6,68,0
15.4,75,1.8,953.7,27,1
1.4,17,42.7,1022.4,77,0
16.6,40,15.5,987.8,65,0
26.3,25,0.5,970.8,48,0
20.3,82,48.7,974.2,89,1
42.4,86,17.8,999.2,91,1
44.3,10,11.5,1042.7,46,0
43.4,71,12.0,1011.4,31,0
10.3,52,36.6,1017.0,36,0
24.2,92,14.8,1029.0,27,0
11.6,40,45.5,1040.0,4,0
5.5,71,42.4,995.7,99,1
13.3,51,32.6,1048.6,31,0
6.5,56,28.6,1033.3,57,0
5.9,51,43.7,1029.9,87,0
34.5,45,21.6,981.1,51,0
16.2,19,15.7,1046.1,33,0
18.9,83,29.3,1006.3,77,1
27.1,69,32.1,1006.9,74,0
24.5,37,8.3,1026.4,75,0
43.5,47,38.2,1032.3,55,0
20.9,65,28.9,956.3,30,0
14.8,81,10.7,1036.8,79,1
-7.0,71,45.5,955.4,48,1
12.2,83,23.1,1035.7,35,0
42.8,32,20.0,961.1,84,0
42.5,42,49.0,1015.2,42,0
11.3,86,8.1,1031.8,18,0
36.2,18,33.7,976.7,72,0
39.6,55,11.6,1022.0,2,0
12.2,54,33.8,985.1,22,0
3.2,65,7.5,981.5,98,0
-8.4,35,18.4,991.4,59,0
-4.1,94,9.5,963.6,37,1
22.9,29,13.5,997.9,79,0
24.3,92,31.6,1029.9,15,0
-9.8,36,48.6,965.5,65,0
2.5,96,22.3,995.2,81,1
41.0,92,7.7,965.8,29,0
43.8,44,41.8,1036.8,2,0
11.1,28,32.2,965.8,48,0
42.0,61,14.3,987.2,93,0
19.7,92,1.2,953.5,94,1
38.2,34,25.9,1029.6,5,0
-3.2,77,10.9,988.6,30,1
-2.4,84,1.1,1041.8,36,0
34.9,54,25.0,1002.9,87,0
-3.8,72,19.0,992.6,91,0
32.5,37,49.4,972.2,68,0
40.8,33,42.3,1009.9,60,0
17.0,17,35.6,1014.6,3,0
29.6,42,7.3,959.0,9,0
33.3,47,49.7,1012.9,91,0
36.6,71,39.0,969.7,87,0
9.5,99,16.0,1047.5,85,1
26.7,36,23.7,951.3,33,0
13.3,74,7.2,997.4,69,0
32.1,68,15.4,1043.5,17,0
36.3,55,31.8,1012.6,78,0
10.1,96,20.9,1013.6,71,1
20.2,23,39.9,1049.4,84,0
-6.5,34,23.5,1017.9,95,0
27.5,19,33.3,957.5,70,0
25.6,29,35.5,963.2,78,0
23.2,39,28.2,977.0,57,0
8.2,87,3.3,966.5,81,1
34.3,33,22.0,980.5,73,0
-8.6,27,10.4,1030.5,58,0
18.0,47,31.6,1025.5,2,0
-5.0,96,19.3,1015.3,28,0
8.4,95,25.3,974.1,37,0
12.5,12,1.0,1045.0,83,0
0.5,14,38.2,962.5,94,0
13.9,83,37.4,1000.4,17,0
1.7,28,38.2,1035.2,35,0
26.8,60,20.9,972.5,56,0
36.8,44,34.8,996.3,31,0
-3.3,26,16.6,954.3,88,0
25.1,67,17.9,1001.3,95,0
20.3,34,39.5,973.9,33,0
13.3,50,38.1,1032.8,2,0
19.8,19,15.6,1018.0,69,0
42.9,36,11.2,1010.9,57,0
-5.7,60,41.9,1048.8,21,0
-9.5,12,21.4,1035.8,64,0
39.1,25,33.7,962.5,90,0
26.2,45,23.9,1036.0,9,0
25.2,75,49.2,952.2,20,0
0.5,47,30.4,1017.6,83,0
27.4,80,0.3,1027.1,47,0
8.0,23,41.4,962.1,33,0
12.6,84,11.5,1042.8,21,0
